datetime,season,workingday,weather,temp,humidity,windspeed,count,company_id
'2011-01-01 00:00:00','1','0',Nice,9.84,81,0.0,16,436
'2011-01-01 01:00:00','1','0',Nice,9.02,80,0.0,40,356
'2011-01-01 02:00:00','1','0',Nice,9.02,80,0.0,32,431
'2011-01-01 03:00:00','1','0',Nice,9.84,75,0.0,13,431
'2011-01-01 04:00:00','1','0',Nice,9.84,75,0.0,1,130
'2011-01-01 05:00:00','1','0',Cloudy,9.84,75,60.032,1,151
'2011-01-01 06:00:00','1','0',Nice,9.02,80,0.0,2,436
'2011-01-01 07:00:00','1','0',Nice,8.2,86,0.0,3,352
'2011-01-01 08:00:00','1','0',Nice,9.84,75,0.0,8,58
'2011-01-01 09:00:00','1','0',Nice,13.12,76,0.0,14,58
'2011-01-01 10:00:00','1','0',Nice,15.58,76,169.979,36,353
'2011-01-01 11:00:00','1','0',Nice,14.76,81,190.012,56,436
'2011-01-01 12:00:00','1','0',Nice,17.22,77,190.012,84,353
'2011-01-01 13:00:00','1','0',Cloudy,18.86,72,199.995,94,303
'2011-01-01 14:00:00','1','0',Cloudy,18.86,72,190.012,106,387
'2011-01-01 15:00:00','1','0',Cloudy,18.04,77,199.995,110,352
'2011-01-01 16:00:00','1','0',Cloudy,17.22,82,199.995,93,402
'2011-01-01 17:00:00','1','0',Cloudy,18.04,82,190.012,67,58
'2011-01-01 18:00:00','1','0',Light rain,17.22,88,169.979,35,352
'2011-01-01 19:00:00','1','0',Light rain,17.22,88,169.979,37,151
'2011-01-01 20:00:00','1','0',Cloudy,16.4,87,169.979,36,252
'2011-01-01 21:00:00','1','0',Cloudy,16.4,87,12.998,34,252
'2011-01-01 22:00:00','1','0',Cloudy,16.4,94,150.013,28,352
'2011-01-01 23:00:00','1','0',Cloudy,18.86,88,199.995,39,252
'2011-01-02 00:00:00','1','0',Cloudy,18.86,88,199.995,17,252
'2011-01-02 01:00:00','1','0',Cloudy,18.04,94,169.979,17,425
'2011-01-02 02:00:00','1','0',Cloudy,17.22,100,190.012,9,352
'2011-01-02 03:00:00','1','0',Cloudy,18.86,94,12.998,6,387
'2011-01-02 04:00:00','1','0',Cloudy,18.86,94,12.998,3,436
'2011-01-02 06:00:00','1','0',Light rain,17.22,77,199.995,2,252
'2011-01-02 07:00:00','1','0',Cloudy,16.4,76,12.998,1,425
'2011-01-02 08:00:00','1','0',Light rain,16.4,71,150.013,8,252
'2011-01-02 09:00:00','1','0',Cloudy,15.58,76,150.013,20,352
'2011-01-02 10:00:00','1','0',Cloudy,14.76,81,150.013,53,402
'2011-01-02 11:00:00','1','0',Cloudy,14.76,71,169.979,70,58
'2011-01-02 12:00:00','1','0',Cloudy,14.76,66,199.995,93,151
'2011-01-02 13:00:00','1','0',Cloudy,14.76,66,89.981,75,352
'2011-01-02 14:00:00','1','0',Light rain,14.76,76,12.998,59,352
'2011-01-02 15:00:00','1','0',Light rain,13.94,81,110.014,74,442
'2011-01-02 16:00:00','1','0',Light rain,13.94,71,110.014,76,3
'2011-01-02 17:00:00','1','0',Nice,13.94,57,12.998,65,252
'2011-01-02 18:00:00','1','0',Cloudy,14.76,46,220.028,53,387
'2011-01-02 19:00:00','1','0',Nice,13.12,42,300.026,30,352
'2011-01-02 20:00:00','1','0',Nice,12.3,39,239.994,22,352
'2011-01-02 21:00:00','1','0',Nice,10.66,44,220.028,31,431
'2011-01-02 22:00:00','1','0',Nice,9.84,44,199.995,9,58
'2011-01-02 23:00:00','1','0',Nice,9.02,47,110.014,8,387
'2011-01-03 00:00:00','1','1',Nice,9.02,44,239.994,5,436
'2011-01-03 01:00:00','1','1',Nice,8.2,44,279.993,2,352
'2011-01-03 04:00:00','1','1',Nice,6.56,47,260.027,1,425
'2011-01-03 05:00:00','1','1',Nice,6.56,47,190.012,3,352
'2011-01-03 06:00:00','1','1',Nice,5.74,50,260.027,30,58
'2011-01-03 07:00:00','1','1',Nice,5.74,50,12.998,64,352
'2011-01-03 08:00:00','1','1',Nice,5.74,50,190.012,154,387
'2011-01-03 09:00:00','1','1',Nice,6.56,43,260.027,88,352
'2011-01-03 10:00:00','1','1',Nice,7.38,43,169.979,44,436
'2011-01-03 11:00:00','1','1',Nice,8.2,40,220.028,51,356
'2011-01-03 12:00:00','1','1',Nice,9.02,35,199.995,61,387
'2011-01-03 13:00:00','1','1',Nice,9.84,35,190.012,61,353
'2011-01-03 14:00:00','1','1',Nice,10.66,30,190.012,77,353
'2011-01-03 15:00:00','1','1',Nice,10.66,30,169.979,72,60
'2011-01-03 16:00:00','1','1',Nice,10.66,30,169.979,76,252
'2011-01-03 17:00:00','1','1',Nice,9.84,30,150.013,157,352
'2011-01-03 18:00:00','1','1',Nice,9.84,32,70.015,157,431
'2011-01-03 19:00:00','1','1',Nice,8.2,47,0.0,110,130
'2011-01-03 20:00:00','1','1',Nice,8.2,47,70.015,52,402
'2011-01-03 21:00:00','1','1',Nice,7.38,64,89.981,52,353
'2011-01-03 22:00:00','1','1',Nice,5.74,69,89.981,20,228
'2011-01-03 23:00:00','1','1',Nice,7.38,55,70.015,12,151
'2011-01-04 00:00:00','1','1',Nice,6.56,55,70.015,5,431
'2011-01-04 01:00:00','1','1',Nice,6.56,59,70.015,2,252
'2011-01-04 02:00:00','1','1',Nice,5.74,63,89.981,1,352
'2011-01-04 04:00:00','1','1',Nice,5.74,63,60.032,2,425
'2011-01-04 05:00:00','1','1',Nice,4.92,68,70.015,4,436
'2011-01-04 06:00:00','1','1',Nice,4.92,74,70.015,36,3
'2011-01-04 07:00:00','1','1',Nice,4.92,74,89.981,94,431
'2011-01-04 08:00:00','1','1',Nice,5.74,69,110.014,179,352
'2011-01-04 09:00:00','1','1',Nice,6.56,64,150.013,100,60
'2011-01-04 10:00:00','1','1',Cloudy,6.56,69,220.028,42,252
'2011-01-04 11:00:00','1','1',Nice,9.02,51,199.995,57,130
'2011-01-04 12:00:00','1','1',Nice,9.02,51,110.014,78,352
'2011-01-04 13:00:00','1','1',Nice,9.84,56,12.998,97,352
'2011-01-04 14:00:00','1','1',Nice,10.66,52,150.013,63,356
